Project,Group,Connections,Twitter,Image,Popup
Cool Points Club,#4D82C1,7,coolpointsclub,https://pbs.twimg.com/profile_images/1439790931859804165/HFfHi-ix_normal.jpg,"<strong>Cool Points Club</strong> | <a href=""https://twitter.com/CoolPointsClub"">@CoolPointsClub</a><p>We do cool | @islands_of_cool | https://t.co/B0VDNZSICR </p>"
Cosmos,#02E2AC,14,cosmos,https://pbs.twimg.com/profile_images/1328431690268729347/flijoJYv_normal.jpg,"<strong>Cosmos - Internet of Blockchains ⚛️</strong> | <a href=""https://twitter.com/cosmos"">@cosmos</a><p>The open, scalable, and interconnected economy of the future. $ATOM </p><a href=""https://t.co/fQa15XWIQ6"">cosmos.network</a>"
Crowdmuse,#4D82C1,3,crowdmuse,https://pbs.twimg.com/profile_images/1499475706996273156/ymt0Jq2X_normal.jpg,"<strong>crowdmuse</strong> | <a href=""https://twitter.com/crowdmuse"">@crowdmuse</a><p>🕸 autonomous collaboration for regen projects. 🌱 we pilot forkable business models with built-in licensing, supply chains & knowledge networks. </p><a href=""https://t.co/8cFicomZma"">crowdmuse.com</a>"
Crypto Culture and Society,#FFCC00,8,cryptosocietys1,https://pbs.twimg.com/profile_images/1502365946614276100/xPQrAcRT_normal.jpg,"<strong>Crypto, Culture & Society 🍎</strong> | <a href=""https://twitter.com/CryptoSocietyS1"">@CryptoSocietyS1</a><p>Building liberal arts education for crypto. 📍Semester II: Our Digital Futures </p><a href=""https://t.co/U9iT2bvFPR"">ccsdao.xyz</a>"
Curve Labs,#FFCC00,33,curvelabs,https://pbs.twimg.com/profile_images/1506287116376027140/_aje108X_normal.jpg,"<strong>Curve Labs</strong> | <a href=""https://twitter.com/curvelabs"">@curvelabs</a><p>design & implementation laboratory for organizational technologies \\\ we’re hiring https://t.co/8LBV8IDtSJ </p><a href=""https://t.co/Ziwm3KaBfP"">curvelabs.eu</a>"
DAOpunks,#FFCC00,2,daopunksnft,https://pbs.twimg.com/profile_images/1445550891466047493/4RSf3ecC_normal.jpg,"<strong>DAOpunks</strong> | <a href=""https://twitter.com/DAOpunksNFT"">@DAOpunksNFT</a><p>Liberating humans from the soul-sucking drudgery of default world work<br><br>Join the movement:<br>https://t.co/8r8IRW6ZMn<br>https://t.co/duOs9v0TYp </p><a href=""https://t.co/k1l02AVKzo"">daopunks.io</a>"
DOER Money DAO,#02E2AC,2,doerdotmoney,https://pbs.twimg.com/profile_images/1496463760474660872/JmqKQYSg_normal.jpg,"<strong>DOERmoney</strong> | <a href=""https://twitter.com/DOERdotmoney"">@DOERdotmoney</a><p>$DOER MONEY DAO | Permissionless Income for the Regenerative Economy Workforce | We are a subDAO of @ACREDAOs </p><a href=""https://t.co/jPyOh3FYQf"">juicebox.money/#/p/doer</a>"
DeveloperDAO,#FFCC00,31,developer_dao,https://pbs.twimg.com/profile_images/1498373755583799301/dr7zfeyt_normal.jpg,"<strong>Developer DAO (🧱, 🚀)</strong> | <a href=""https://twitter.com/developer_dao"">@developer_dao</a><p>Build web3 with friends 🤝<br><br>New membership officially open ⚡️<br><br>@web3con 🌈<br><br>https://t.co/k407RuowQl<br><br>https://t.co/ZKZintUdTV </p><a href=""https://t.co/1D2d0LrcOV"">developerdao.notion.site/Getting-Starte…</a>"
Diatom DAO,#02E2AC,16,diatomdao,https://pbs.twimg.com/profile_images/1453440139301171205/oZZfX0z5_normal.jpg,"<strong>Diatom DAO (🌊,🌊)</strong> | <a href=""https://twitter.com/diatomdao"">@diatomdao</a><p>Ocean protection, decentralized. Starting with the first-ever tokenization of ocean plastics removal. </p><a href=""https://t.co/NCLXXdQHBc"">diatom.fund</a>"
DoinGud,#FFCC00,31,doingudhq,https://pbs.twimg.com/profile_images/1532179713145286656/TyPJIFYf_normal.jpg,"<strong>DoinGud</strong> | <a href=""https://twitter.com/DoinGudHQ"">@DoinGudHQ</a><p>DoinGud is an NFT ecosystem empowering creators, collectors, curators, and communities to do good 👨‍🎤 We are hiring! 🚨 </p><a href=""https://t.co/Rqos4ZiKFV"">linktr.ee/doingud</a>"
Dream DAO,#02E2AC,27,dreamdao_,https://pbs.twimg.com/profile_images/1450845956035993604/3WlyJf0K_normal.jpg,"<strong>Dream DAO 👩🏽‍🚀🌞 (web3 x Gen Z x social impact)</strong> | <a href=""https://twitter.com/DreamDAO_"">@DreamDAO_</a><p>powered by @CivicsUnplugged, we train + fund regen-minded Gen Z leaders around the world to explore web3 + harness its power to build a #solarpunk future 🌞🌍 </p><a href=""https://t.co/aRm9JJPsDH"">dreamdao.xyz</a>"
